=== 模型训练开始（使用 train.csv / eval.csv）===
epoch=1/1000 loss=0.357660
epoch=2/1000 loss=0.244436
epoch=3/1000 loss=0.226113
epoch=4/1000 loss=0.219526
epoch=5/1000 loss=0.216514
epoch=6/1000 loss=0.214607
epoch=7/1000 loss=0.213157
epoch=8/1000 loss=0.211917
epoch=9/1000 loss=0.210775
epoch=10/1000 loss=0.209686
epoch=11/1000 loss=0.208634
epoch=12/1000 loss=0.207612
epoch=13/1000 loss=0.206620
epoch=14/1000 loss=0.205658
epoch=15/1000 loss=0.204725
epoch=16/1000 loss=0.203823
epoch=17/1000 loss=0.202950
epoch=18/1000 loss=0.202106
epoch=19/1000 loss=0.201290
epoch=20/1000 loss=0.200502
epoch=21/1000 loss=0.199740
epoch=22/1000 loss=0.199003
epoch=23/1000 loss=0.198290
epoch=24/1000 loss=0.197601
epoch=25/1000 loss=0.196934
epoch=26/1000 loss=0.196288
epoch=27/1000 loss=0.195662
epoch=28/1000 loss=0.195055
epoch=29/1000 loss=0.194467
epoch=30/1000 loss=0.193896
epoch=31/1000 loss=0.193341
epoch=32/1000 loss=0.192803
epoch=33/1000 loss=0.192279
epoch=34/1000 loss=0.191771
epoch=35/1000 loss=0.191275
epoch=36/1000 loss=0.190793
epoch=37/1000 loss=0.190324
epoch=38/1000 loss=0.189867
epoch=39/1000 loss=0.189421
epoch=40/1000 loss=0.188986
epoch=41/1000 loss=0.188562
epoch=42/1000 loss=0.188148
epoch=43/1000 loss=0.187744
epoch=44/1000 loss=0.187349
epoch=45/1000 loss=0.186963
epoch=46/1000 loss=0.186586
epoch=47/1000 loss=0.186217
epoch=48/1000 loss=0.185856
epoch=49/1000 loss=0.185502
epoch=50/1000 loss=0.185156
epoch=51/1000 loss=0.184818
epoch=52/1000 loss=0.184486
epoch=53/1000 loss=0.184161
epoch=54/1000 loss=0.183842
epoch=55/1000 loss=0.183529
epoch=56/1000 loss=0.183223
epoch=57/1000 loss=0.182922
epoch=58/1000 loss=0.182627
epoch=59/1000 loss=0.182337
epoch=60/1000 loss=0.182052
epoch=61/1000 loss=0.181773
epoch=62/1000 loss=0.181498
epoch=63/1000 loss=0.181229
epoch=64/1000 loss=0.180964
epoch=65/1000 loss=0.180703
epoch=66/1000 loss=0.180447
epoch=67/1000 loss=0.180195
epoch=68/1000 loss=0.179947
epoch=69/1000 loss=0.179703
epoch=70/1000 loss=0.179463
epoch=71/1000 loss=0.179226
